Location,Indicator,Period,First Tooltip
Afghanistan,"Psychiatrists working in mental health sector (per 100,000)",2016,0.23
Albania,"Psychiatrists working in mental health sector (per 100,000)",2016,1.47
Angola,"Psychiatrists working in mental health sector (per 100,000)",2016,0.057
Antigua and Barbuda,"Psychiatrists working in mental health sector (per 100,000)",2016,1
Argentina,"Psychiatrists working in mental health sector (per 100,000)",2016,21.71
Armenia,"Psychiatrists working in mental health sector (per 100,000)",2016,3.84
Australia,"Psychiatrists working in mental health sector (per 100,000)",2015,13.53
Azerbaijan,"Psychiatrists working in mental health sector (per 100,000)",2016,3.45
Bahrain,"Psychiatrists working in mental health sector (per 100,000)",2017,5.47
Bangladesh,"Psychiatrists working in mental health sector (per 100,000)",2016,0.13
Belarus,"Psychiatrists working in mental health sector (per 100,000)",2016,13.5
Belgium,"Psychiatrists working in mental health sector (per 100,000)",2013,20.06
Belize,"Psychiatrists working in mental health sector (per 100,000)",2016,1.39
Bhutan,"Psychiatrists working in mental health sector (per 100,000)",2016,0.51
Bolivia (Plurinational State of),"Psychiatrists working in mental health sector (per 100,000)",2016,1.13
Bosnia and Herzegovina,"Psychiatrists working in mental health sector (per 100,000)",2015,8.03
Brazil,"Psychiatrists working in mental health sector (per 100,000)",2016,3.16
Brunei Darussalam,"Psychiatrists working in mental health sector (per 100,000)",2016,1.2
Bulgaria,"Psychiatrists working in mental health sector (per 100,000)",2016,7.2
Burkina Faso,"Psychiatrists working in mental health sector (per 100,000)",2016,0.039
Burundi,"Psychiatrists working in mental health sector (per 100,000)",2017,0.01
Cambodia,"Psychiatrists working in mental health sector (per 100,000)",2016,0.39
Canada,"Psychiatrists working in mental health sector (per 100,000)",2017,14.68
Central African Republic,"Psychiatrists working in mental health sector (per 100,000)",2017,0.022
Chad,"Psychiatrists working in mental health sector (per 100,000)",2016,0.007
Chile,"Psychiatrists working in mental health sector (per 100,000)",2016,6.97
China,"Psychiatrists working in mental health sector (per 100,000)",2015,2.2
Colombia,"Psychiatrists working in mental health sector (per 100,000)",2016,1.84
Comoros,"Psychiatrists working in mental health sector (per 100,000)",2017,0.13
Congo,"Psychiatrists working in mental health sector (per 100,000)",2016,0.08
Cook Islands,"Psychiatrists working in mental health sector (per 100,000)",2016,5.73
Costa Rica,"Psychiatrists working in mental health sector (per 100,000)",2016,3.93
Côte d’Ivoire,"Psychiatrists working in mental health sector (per 100,000)",2016,0.13
Croatia,"Psychiatrists working in mental health sector (per 100,000)",2016,11.1
Cuba,"Psychiatrists working in mental health sector (per 100,000)",2016,9.06
Czechia,"Psychiatrists working in mental health sector (per 100,000)",2015,12.36
Dominican Republic,"Psychiatrists working in mental health sector (per 100,000)",2016,2.28
Ecuador,"Psychiatrists working in mental health sector (per 100,000)",2016,0.46
Egypt,"Psychiatrists working in mental health sector (per 100,000)",2016,1.6
El Salvador,"Psychiatrists working in mental health sector (per 100,000)",2016,0.89
Equatorial Guinea,"Psychiatrists working in mental health sector (per 100,000)",2017,0.68
Estonia,"Psychiatrists working in mental health sector (per 100,000)",2016,16.19
Eswatini,"Psychiatrists working in mental health sector (per 100,000)",2017,0.076
Ethiopia,"Psychiatrists working in mental health sector (per 100,000)",2017,0.076
Fiji,"Psychiatrists working in mental health sector (per 100,000)",2016,0.22
Finland,"Psychiatrists working in mental health sector (per 100,000)",2017,23.59
France,"Psychiatrists working in mental health sector (per 100,000)",2017,20.91
Gabon,"Psychiatrists working in mental health sector (per 100,000)",2016,0.26
Gambia,"Psychiatrists working in mental health sector (per 100,000)",2016,0.1
Georgia,"Psychiatrists working in mental health sector (per 100,000)",2016,6.71
Germany,"Psychiatrists working in mental health sector (per 100,000)",2015,13.2
